id,company
9090,UNIVERSAL PICTURES
3512,REGENCY ENTERPRISES
52856,HOLLYWOOD PICTURES
9560,TWENTIETH CENTURY FOX FILM CORPORATION
9804,UNIVERSAL PICTURES
31611,HBO
65796,UNITED ARTISTS
49805,PARAMOUNT PICTURES
26258,TWENTIETH CENTURY FOX FILM CORPORATION
50797,CANAL+
19155,POLYGRAM AUDIOVISUEL
76,DETOUR FILM PRODUCTION
11017,JACK GIARRAPUTO PRODUCTIONS
37141,SPELLING FILMS INTERNATIONAL
9382,REGENCY ENTERPRISES
6715,UNIVERSAL PICTURES
18256,FULL MOON ENTERTAINMENT
22625,THE RANK ORGANISATION
2292,MIRAMAX FILMS
1909,NEW LINE CINEMA
8984,WARNER BROS.
61813,KEYSTONE PICTURES
4954,PARAMOUNT PICTURES
62488,SAVOY PICTURES
10531,FINE LINE FEATURES
11929,CASTLE ROCK ENTERTAINMENT
8467,NEW LINE CINEMA
10451,ANG LEE PRODUCTIONS
20156,MIRAMAX FILMS
18395,SAVOY PICTURES
522,TOUCHSTONE PICTURES
397,TWENTIETH CENTURY FOX FILM CORPORATION
10525,COLUMBIA PICTURES
27985,TWENTIETH CENTURY FOX FILM CORPORATION
15789,WALT DISNEY PICTURES
27303,TRISTAR PICTURES
21183,METRO-GOLDWYN-MAYER
10954,ITALIAN INTERNATIONAL FILM
72031,MIRAMAX FILMS
14275,FINE LINE FEATURES
1024,WINGNUT FILMS
17207,CARAVAN PICTURES
13701,COLUMBIA PICTURES
14819,WALT DISNEY PICTURES
32631,UNIVERSAL PICTURES
11777,PARAMOUNT PICTURES
628,GEFFEN PICTURES
87729,MERCHANT IVORY PRODUCTIONS
18713,CARAVAN PICTURES
6280,UNIVERSAL PICTURES
9061,FOUNTAINBRIDGE FILMS
37108,WALT DISNEY PICTURES
6071,TWENTIETH CENTURY FOX FILM CORPORATION
11,LUCASFILM
9587,COLUMBIA PICTURES
19101,WARNER BROS.
49980,CHANNEL FOUR FILMS
17961,MK2 PRODUCTIONS
18183,AVIACSA
4476,BEDFORD FALLS PRODUCTIONS
11008,UNIVERSAL PICTURES
47504,FINE LINE FEATURES
32325,CHANNEL FOUR FILMS
43742,WARNER BROS.
28313,PARAMOUNT PICTURES
11318,CHANNEL FOUR FILMS
3036,AMERICAN ZOETROPE
40490,WALT DISNEY PICTURES
24070,TRISTAR PICTURES
8986,PARAMOUNT PICTURES
10510,TWENTIETH CENTURY FOX FILM CORPORATION
17402,HOLLYWOOD PICTURES
38722,AMERICAN ZOETROPE
8438,WOLPER ORGANIZATION
11593,PARAMOUNT PICTURES
1945,TWENTIETH CENTURY FOX FILM CORPORATION
39310,40 ACRES & A MULE FILMWORKS
109560,TOEI
56428,METRODOME FILMS
63105,FILMWERKS
131957,TRIUMPH FILMS
241,REGENCY ENTERPRISES
9058,TRISTAR PICTURES
527,AVALON STUDIOS
18220,NEW LINE CINEMA
6950,KOPELSON ENTERTAINMENT
101,COLUMBIA PICTURES
63020,"SAMUEL GOLDWYN COMPANY, THE"
2307,HOLLYWOOD PICTURES
680,MIRAMAX FILMS
41478,POLYGRAM FILMED ENTERTAINMENT
25296,ANG LEE PRODUCTIONS
40156,BBC FILMS
11450,WILDWOOD ENTERPRISES
30304,CECILE COMPANY
10452,RENN PRODUCTIONS
12106,TRISTAR PICTURES
161495,HOLLYWOOD PICTURES
3586,MIRAMAX FILMS
110,ZESPÓŁ FILMOWY TOR
108,FRANCE 3 CINÉMA
109,LE STUDIO CANAL+
92769,ALLEGRO FILMS
28033,PARAMOUNT PICTURES
22586,RICH ANIMATION STUDIOS
14334,JONES ENTERTAINMENT GROUP
2636,JERRY WEINTRAUB PRODUCTIONS
2164,CENTROPOLIS ENTERTAINMENT
11395,WALT DISNEY PICTURES
278,CASTLE ROCK ENTERTAINMENT
9905,CHANNEL FOUR FILMS
87078,KINO KORSAKOFF
12527,MIRAMAX FILMS
20306,CINEVILLE
36614,SAMUEL GOLDWYN COMPANY
27993,NEW LINE CINEMA
31439,SHANGHAI FILM STUDIOS
9067,TRILOGY ENTERTAINMENT GROUP
9059,UNIVERSAL PICTURES
193,PARAMOUNT PICTURES
25066,40 ACRES & A MULE FILMWORKS
12122,UNIVERSAL PICTURES
11381,PARAMOUNT PICTURES
32636,SONY PICTURES CLASSICS
36141,POPULIST PICTURES
95963,SAVOY PICTURES
1587,PARAMOUNT PICTURES
9271,PARAMOUNT PICTURES
2064,CARAVAN PICTURES
19855,UNIVERSAL PICTURES
60855,FINE LINE FEATURES
236,CIBY 2000
48287,COLUMBIA PICTURES CORPORATION
3049,WARNER BROS.
2759,POLYGRAM FILMED ENTERTAINMENT
12635,GRAMERCY PICTURES
10497,FINE LINE FEATURES
11382,MIRAMAX FILMS
9331,PARAMOUNT PICTURES
10731,REGENCY ENTERPRISES
10464,NEW LINE CINEMA
34152,UNIVERSAL PICTURES
9495,MIRAMAX FILMS
29973,REGENCY ENTERPRISES
888,UNIVERSAL PICTURES
13,PARAMOUNT PICTURES
712,CHANNEL FOUR FILMS
16295,COLUMBIA PICTURES CORPORATION
48992,COLUMBIA PICTURES CORPORATION
10879,CARAVAN PICTURES
10660,TRISTAR PICTURES
41647,CHANNEL FOUR FILMS
8587,WALT DISNEY PICTURES
1689,MIRAMAX FILMS
11596,NEW LINE CINEMA
854,NEW LINE CINEMA
9359,ICON ENTERTAINMENT INTERNATIONAL
23333,FINE LINE FEATURES
36593,PARAMOUNT PICTURES
12280,IMAGINE ENTERTAINMENT
2788,UNIVERSAL PICTURES
10427,PROPAGANDA FILMS
11011,DAVIS ENTERTAINMENT
49803,NEW LINE CINEMA
8987,UNIVERSAL PICTURES
1637,TWENTIETH CENTURY FOX FILM CORPORATION
15128,METRO-GOLDWYN-MAYER (MGM)
8831,UNIVERSAL PICTURES
36955,TWENTIETH CENTURY FOX FILM CORPORATION
10449,TOUCHSTONE PICTURES
10395,COLUMBIA PICTURES
12160,TIG PRODUCTIONS
40480,TOUCHSTONE PICTURES
52038,BBC FILMS
29444,GRAMERCY PICTURES
26352,CARAVAN PICTURES
39953,STRAND RELEASING
315,EVE PRODUCTIONS INC.
18242,BOLEX BROTHERS
11667,UNIVERSAL PICTURES
32502,PROPAGANDA FILMS
28732,LIVE ENTERTAINMENT
75555,A-PIX ENTERTAINMENT
42981,WALT DISNEY PICTURES
278939,OVERSEAS FILMGROUP
291731,SKYLINE ENTERTAINMENT PARTNERS
203119,HOME BOX OFFICE (HBO)
8011,TRANS-FILM
2654,NEW LINE CINEMA
18069,NEW LINE CINEMA
19092,NEW LINE CINEMA
2758,PARAMOUNT PICTURES
38129,HBO INDEPENDENT PRODUCTIONS
10436,COLUMBIA PICTURES
13595,TWENTIETH CENTURY FOX FILM CORPORATION
46094,HOLLYWOOD PICTURES
9409,TOUCHSTONE PICTURES
11853,TWENTIETH CENTURY FOX FILM CORPORATION
16771,FINE LINE FEATURES
46924,WARNER BROS.
11041,TWENTIETH CENTURY FOX FILM CORPORATION
306,PARAMOUNT PICTURES
14522,WARNER BROS.
26203,NEW LINE CINEMA
178,TRILOGY ENTERTAINMENT GROUP
19819,PARAMOUNT PICTURES
57834,ORION PICTURES CORPORATION
4722,WARNER BROS.
18215,MAINLINE PICTURES
1607,HBO FILMS
26391,TOUCHSTONE PICTURES
117553,COLUMBIA PICTURES
6075,UNIVERSAL PICTURES
11310,COLUMBIA PICTURES
18658,METRO-GOLDWYN-MAYER (MGM)
9350,TRISTAR PICTURES
9612,PARAMOUNT PICTURES
2124,HOLLYWOOD PICTURES
26261,TRISTAR PICTURES
19176,IMAGINE ENTERTAINMENT
49299,METRO-GOLDWYN-MAYER (MGM)
11566,DONNER/SHULER-DONNER PRODUCTIONS
9571,GRAMERCY PICTURES
9739,SILVER PICTURES
34444,FINE LINE FEATURES
26141,METRO-GOLDWYN-MAYER (MGM)
10997,BEIJING FILM STUDIO
50463,ORION PICTURES
10443,SPRING CREEK PRODUCTIONS
16297,SPRING CREEK PRODUCTIONS
18551,PARAMOUNT PICTURES
25440,FINE LINE FEATURES
9024,UNIVERSAL STUDIOS
37233,PARAMOUNT PICTURES
1634,CANAL PLUS
13815,MIRAMAX FILMS
5503,WARNER BROS.
35588,COLUMBIA PICTURES
2087,UNIVERSAL PICTURES
41579,METRO-GOLDWYN-MAYER (MGM)
18620,KILLER FILMS
41006,GRAMERCY PICTURES
4916,HOLLYWOOD PICTURES
2019,UNIVERSAL PICTURES
31642,REGENCY ENTERPRISES
9255,TWENTIETH CENTURY FOX FILM CORPORATION
26271,SPELLING ENTERTAINMENT
10612,MIRAMAX FILMS
2259,DET DANSKE FILMINSTITUT
11934,POLYGRAM FILMED ENTERTAINMENT
106143,GRACIE FILMS
12475,HOLLYWOOD PICTURES
9386,CASTLE ROCK ENTERTAINMENT
7984,UNIVERSAL PICTURES
59930,TOUCHSTONE PICTURES
15765,TOUCHSTONE PICTURES
31643,PARAMOUNT PICTURES
6,UNIVERSAL PICTURES
329,UNIVERSAL PICTURES
10909,PROPAGANDA FILMS
507,LIVE ENTERTAINMENT
34024,GRAMERCY PICTURES
29918,PARAMOUNT PICTURES
9593,COLUMBIA PICTURES CORPORATION
42580,TOUCHSTONE PICTURES
22317,SAVOY PICTURES
1413,GEFFEN PICTURES
12121,REGENCY ENTERPRISES
2246,COLUMBIA PICTURES
10502,ICON ENTERTAINMENT INTERNATIONAL
10440,TRISTAR PICTURES
9516,NEW LINE CINEMA
2320,SILVER PICTURES
5879,ARGOS FILMS
83718,THE SAMUEL GOLDWYN COMPANY
11971,RENAISSANCE FILMS
2625,TRISTAR PICTURES
31911,WARNER BROS.
788,TWENTIETH CENTURY FOX FILM CORPORATION
21450,THIN MAN FILMS
11231,COLUMBIA PICTURES CORPORATION
41588,REGENCY ENTERPRISES
10447,COLUMBIA PICTURES CORPORATION
31586,COLUMBIA PICTURES
9300,MIKADO FILM
9559,MALPASO PRODUCTIONS
9800,TRISTAR PICTURES
713,NEW SOUTH WALES FILM & TELEVISION OFFICE
8291,COLUMBIA PICTURES
18133,TOUCHSTONE PICTURES
25557,HOLLYWOOD PICTURES
22588,UNIVERSAL PICTURES
10872,TOUCHSTONE PICTURES
1245,COLUMBIA PICTURES
11858,CINERGI PICTURES ENTERTAINMENT
7007,TWENTIETH CENTURY FOX FILM CORPORATION
10467,COLUMBIA PICTURES
5550,ORION PICTURES
8005,GAUMONT
2088,WORKING TITLE FILMS
10412,THE AUSTRALIAN FILM COMMISSION
47889,RUBY IN PARADISE
14534,TRISTAR PICTURES
56583,DAVID V. PICKER PRODUCTIONS
41878,SOCIÉTÉ NOUVELLE DE CINÉMATOGRAPHIE
424,UNIVERSAL PICTURES
35233,TWENTIETH CENTURY FOX FILM CORPORATION
14291,MIRAGE ENTERPRISES
103413,REGENCY ENTERPRISES
11236,AMERICAN ZOETROPE
11592,SAVOY PICTURES
8850,UNIVERSAL PICTURES
10445,SHADOWLANDS PRODUCTIONS
695,FINE LINE FEATURES
43535,TOUCHSTONE PICTURES
12519,MIRAMAX FILMS
23210,METRO-GOLDWYN-MAYER (MGM)
858,TRISTAR PICTURES
867,PARAMOUNT PICTURES
78,SHAW BROTHERS
13203,HOLLYWOOD PICTURES
10442,TRISTAR PICTURES
11074,COLUMBIA PICTURES INDUSTRIES
9607,HOLLYWOOD PICTURES
17585,NEW LINE CINEMA
9057,HOLLYWOOD PICTURES
20967,RHOMBUS MEDIA
10635,TRISTAR PICTURES
9479,TIM BURTON PRODUCTIONS
10057,WALT DISNEY PICTURES
11969,HOLLYWOOD PICTURES
41590,WARNER BROS.
319,DAVIS-FILMS
15139,TWENTIETH CENTURY FOX FILM CORPORATION
161158,TÉLÉFILM CANADA
85247,REPUBLIC PICTURES (II)
51980,RENN PRODUCTIONS
24405,WARNER BROS.
11655,CNCAIMC
11800,FINE LINE FEATURES
8223,CIBY 2000
14587,CHANNEL 4 TELEVISION
31504,COLUMBIA PICTURES
41653,SVT DRAMA
17600,FINE LINE FEATURES
10897,UNIVERSAL PICTURES
21352,PARAMOUNT PICTURES
37345,TRISTAR PICTURES
32562,SONY PICTURES CLASSICS
25403,SACHER FILM
124304,OSCAR KRAMER S.A.
9066,PARAMOUNT PICTURES
771,TWENTIETH CENTURY FOX FILM CORPORATION
251,PARAMOUNT PICTURES
812,WALT DISNEY PICTURES
280,LIGHTSTORM ENTERTAINMENT
581,TIG PRODUCTIONS
80350,SHAPIRO-GLICKENHAUS ENTERTAINMENT
268,POLYGRAM FILMED ENTERTAINMENT
274,ORION PICTURES
408,WALT DISNEY PRODUCTIONS
10020,WALT DISNEY PICTURES
10895,RKO RADIO PICTURES
114,TOUCHSTONE PICTURES
41043,SODAPERAGA PRODUCTIONS
576,WARNER BROTHERS/SEVEN ARTS
15477,TRIMARK PICTURES
59146,LONG SHONG PICTURES
30528,TWENTIETH CENTURY FOX FILM CORPORATION
7300,TWENTIETH CENTURY FOX FILM CORPORATION
10824,PROPAGANDA FILMS
261246,BBC
275,POLYGRAM FILMED ENTERTAINMENT
25059,WALT DISNEY PICTURES
11827,CANADIAN FILM DEVELOPMENT CORPORATION (CFDC)
8766,MIRAMAX FILMS
23570,MIRAMAX FILMS
47333,MIRAMAX FILMS
10112,WALT DISNEY PRODUCTIONS
4307,EL DESEO
46029,POLYGRAM FILMED ENTERTAINMENT
32308,UNIVERSAL PICTURES
52873,TF1 FILMS PRODUCTIONS
44281,CINÉTÉLÉFILMS
28121,NEW LINE CINEMA
12520,COLUMBIA PICTURES CORPORATION
1592,PARAMOUNT PICTURES
19042,METRO-GOLDWYN-MAYER (MGM)
38884,ROAD MOVIES FILMPRODUKTION GMBH
